issuer_ca_id,issuer_name,name_value,min_cert_id,min_entry_timestamp,not_before
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",www.sozialinfo.noel.gv.at,310811890,2018-01-22 11:35:03.481,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung2.noe.gv.at,310811882,2018-01-22 11:35:01.406,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung2.noel.gv.at,310811882,2018-01-22 11:35:01.406,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung4.noe.gv.at,310811843,2018-01-22 11:34:03.248,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung4.noel.gv.at,310811843,2018-01-22 11:34:03.248,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung3.noe.gv.at,310811841,2018-01-22 11:34:01.29,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung3.noel.gv.at,310811841,2018-01-22 11:34:01.29,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbungen.noe.gv.at,310811780,2018-01-22 11:32:02.663,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbungen.noel.gv.at,310811780,2018-01-22 11:32:02.663,2018-01-22 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.piu.gv.at,310777087,2018-01-22 11:05:40.985,2018-01-22 10:05:40
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung1.noe.gv.at,310788922,2018-01-22 11:04:01.3,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bewerbung1.noel.gv.at,310788922,2018-01-22 11:04:01.3,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",doris.ooe.gv.at,310750059,2018-01-22 09:20:23.167,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",spp.dsb.gv.at,310731858,2018-01-22 08:52:22.34,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",www.spp.dsb.gv.at,310731858,2018-01-22 08:52:22.34,2018-01-22 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.musau.tirol.gv.at,310654521,2018-01-22 07:02:55.145,2018-01-22 06:02:55
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.zeiselmauer-wolfpassing.gv.at,310654031,2018-01-22 07:02:33.737,2018-01-22 06:02:33
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",abfall.gda.gv.at,310454328,2018-01-22 00:31:43.197,2018-01-21 23:31:43
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.abfall.gda.gv.at,310454328,2018-01-22 00:31:43.197,2018-01-21 23:31:43
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",abfuhrtermine.gda.gv.at,310453346,2018-01-22 00:31:00.277,2018-01-21 23:31:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.abfuhrtermine.gda.gv.at,310453346,2018-01-22 00:31:00.277,2018-01-21 23:31:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",digitales.oesterreich.gv.at,310140039,2018-01-21 14:56:43.897,2018-01-19 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",www.digitales.oesterreich.gv.at,310140039,2018-01-21 14:56:43.897,2018-01-19 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",erhebung-uploads.bmb.gv.at,310142895,2018-01-21 14:56:43.488,2017-11-03 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ternitz.gv.at,309533326,2018-01-20 19:14:27.219,2018-01-20 18:14:27
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.ternitz.gv.at,309533326,2018-01-20 19:14:27.219,2018-01-20 18:14:27
1628,"C=DE, ST=Baden-Württemberg, L=Durmersheim, O=EUNETIC GmbH, CN=EuropeanSSL Server CA 2",otp.scg.gv.at,308863114,2018-01-20 03:49:54.181,2017-03-09 00:00:00
1628,"C=DE, ST=Baden-Württemberg, L=Durmersheim, O=EUNETIC GmbH, CN=EuropeanSSL Server CA 2",www.otp.scg.gv.at,308863114,2018-01-20 03:49:54.181,2017-03-09 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",statistik.strasshofandernordbahn.gv.at,308863017,2018-01-20 03:47:20.292,2018-01-20 02:47:20
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.statistik.strasshofandernordbahn.gv.at,308863017,2018-01-20 03:47:20.292,2018-01-20 02:47:20
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",strasshofandernordbahn.gv.at,308862378,2018-01-20 03:46:58.233,2018-01-20 02:46:58
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.strasshofandernordbahn.gv.at,308862378,2018-01-20 03:46:58.233,2018-01-20 02:46:58
